second,Volt
-8.228800E-03,-104.522615433E+00
-8.220400E-03,-106.532665730E+00
-8.212000E-03,-106.532665730E+00
-8.203600E-03,-108.542716026E+00
-8.195200E-03,-108.542716026E+00
-8.186800E-03,-108.542716026E+00
-8.178400E-03,-108.542716026E+00
-8.170000E-03,-108.542716026E+00
-8.161600E-03,-108.542716026E+00
-8.153200E-03,-109.296484888E+00
-8.144800E-03,-110.552766323E+00
-8.136400E-03,-110.552766323E+00
-8.128000E-03,-110.552766323E+00
-8.119600E-03,-110.552766323E+00
-8.111200E-03,-111.306535184E+00
-8.102800E-03,-112.562816620E+00
-8.094400E-03,-112.562816620E+00
-8.086000E-03,-112.562816620E+00
-8.077600E-03,-112.562816620E+00
-8.069200E-03,-112.562816620E+00
-8.060800E-03,-114.572866917E+00
-8.052400E-03,-114.572866917E+00
-8.044000E-03,-114.572866917E+00
-8.035600E-03,-114.572866917E+00
-8.027200E-03,-114.572866917E+00
-8.018800E-03,-114.572866917E+00
-8.010400E-03,-114.572866917E+00
-8.002000E-03,-115.326635778E+00
-7.993600E-03,-114.572866917E+00
-7.985200E-03,-115.703520209E+00
-7.976800E-03,-115.703520209E+00
-7.968400E-03,-115.703520209E+00
-7.960000E-03,-115.326635778E+00
-7.951600E-03,-116.582917213E+00
-7.943200E-03,-116.582917213E+00
-7.934800E-03,-116.582917213E+00
-7.926400E-03,-116.582917213E+00
-7.918000E-03,-116.582917213E+00
-7.909600E-03,-118.592967510E+00
-7.901200E-03,-117.713570505E+00
-7.892800E-03,-117.336686075E+00
-7.884400E-03,-117.713570505E+00
-7.876000E-03,-118.592967510E+00
-7.867600E-03,-117.713570505E+00
-7.859200E-03,-118.592967510E+00
-7.850800E-03,-118.592967510E+00
-7.842400E-03,-118.592967510E+00
-7.834000E-03,-118.592967510E+00
-7.825600E-03,-118.592967510E+00
-7.817200E-03,-118.592967510E+00
-7.808800E-03,-119.723620802E+00
-7.800400E-03,-118.592967510E+00
-7.792000E-03,-120.603017807E+00
-7.783600E-03,-120.603017807E+00
-7.775200E-03,-120.603017807E+00
-7.766800E-03,-120.603017807E+00
-7.758400E-03,-120.603017807E+00
-7.750000E-03,-122.613068104E+00
-7.741600E-03,-120.603017807E+00
-7.733200E-03,-121.356786668E+00
-7.724800E-03,-122.613068104E+00
-7.716400E-03,-122.613068104E+00
-7.708000E-03,-122.613068104E+00
-7.699600E-03,-122.613068104E+00
-7.691200E-03,-122.613068104E+00
-7.682800E-03,-122.613068104E+00
-7.674400E-03,-122.613068104E+00
-7.666000E-03,-123.366836965E+00
-7.657600E-03,-123.366836965E+00
-7.649200E-03,-124.623118401E+00
-7.640800E-03,-124.623118401E+00
-7.632400E-03,-124.623118401E+00
-7.624000E-03,-124.623118401E+00
-7.615600E-03,-124.623118401E+00
-7.607200E-03,-124.623118401E+00
-7.598800E-03,-124.623118401E+00
-7.590400E-03,-124.623118401E+00
-7.582000E-03,-125.753771693E+00
-7.573600E-03,-126.633168697E+00
-7.565200E-03,-126.633168697E+00
-7.556800E-03,-126.633168697E+00
-7.548400E-03,-126.633168697E+00
-7.540000E-03,-126.633168697E+00
-7.531600E-03,-127.763821989E+00
-7.523200E-03,-127.763821989E+00
-7.514800E-03,-127.763821989E+00
-7.506400E-03,-128.643218994E+00
-7.498000E-03,-128.643218994E+00
-7.489600E-03,-128.643218994E+00
-7.481200E-03,-128.643218994E+00
-7.472800E-03,-129.396987855E+00
-7.464400E-03,-129.396987855E+00
-7.456000E-03,-129.396987855E+00
-7.447600E-03,-128.643218994E+00
-7.439200E-03,-130.653269291E+00
-7.430800E-03,-130.653269291E+00
-7.422400E-03,-130.653269291E+00
-7.414000E-03,-130.653269291E+00
-7.405600E-03,-130.653269291E+00
-7.397200E-03,-130.653269291E+00
-7.388800E-03,-131.407038152E+00
-7.380400E-03,-130.653269291E+00
-7.372000E-03,-130.653269291E+00
-7.363600E-03,-132.663319588E+00
-7.355200E-03,-132.663319588E+00
-7.346800E-03,-132.663319588E+00
-7.338400E-03,-132.663319588E+00
-7.330000E-03,-132.663319588E+00
-7.321600E-03,-132.663319588E+00
-7.313200E-03,-132.663319588E+00
-7.304800E-03,-133.793972880E+00
-7.296400E-03,-133.417088449E+00
