second,Volt
-10.174400E-03,-2.010050297E+00
-10.166000E-03,-4.020100594E+00
-10.157600E-03,-2.010050297E+00
-10.149200E-03,-4.020100594E+00
-10.140800E-03,-3.517588019E+00
-10.132400E-03,-3.517588019E+00
-10.124000E-03,-2.386934727E+00
-10.115600E-03,-4.020100594E+00
-10.107200E-03,-2.386934727E+00
-10.098800E-03,-2.386934727E+00
-10.090400E-03,-2.010050297E+00
-10.082000E-03,-2.010050297E+00
-10.073600E-03,-3.517588019E+00
-10.065200E-03,-4.020100594E+00
-10.056800E-03,-2.010050297E+00
-10.048400E-03,-4.020100594E+00
-10.040000E-03,-2.010050297E+00
-10.031600E-03,-4.020100594E+00
-10.023200E-03,-2.010050297E+00
-10.014800E-03,-2.386934727E+00
-10.006400E-03,-4.020100594E+00
-9.998000E-03,-4.020100594E+00
-9.989600E-03,-2.386934727E+00
-9.981200E-03,-2.010050297E+00
-9.972800E-03,-2.010050297E+00
-9.964400E-03,-2.010050297E+00
-9.956000E-03,-4.020100594E+00
-9.947600E-03,-2.010050297E+00
-9.939200E-03,-2.386934727E+00
-9.930800E-03,-2.010050297E+00
-9.922400E-03,-3.517588019E+00
-9.914000E-03,-4.020100594E+00
-9.905600E-03,-2.386934727E+00
-9.897200E-03,-4.020100594E+00
-9.888800E-03,-4.020100594E+00
-9.880400E-03,-4.020100594E+00
-9.872000E-03,-2.010050297E+00
-9.863600E-03,-2.386934727E+00
-9.855200E-03,-2.386934727E+00
-9.846800E-03,-2.010050297E+00
-9.838400E-03,-2.010050297E+00
-9.830000E-03,-2.386934727E+00
-9.821600E-03,-2.386934727E+00
-9.813200E-03,-3.517588019E+00
-9.804800E-03,-2.010050297E+00
-9.796400E-03,-2.010050297E+00
-9.788000E-03,-2.010050297E+00
-9.779600E-03,-2.010050297E+00
-9.771200E-03,-2.010050297E+00
-9.762800E-03,-2.386934727E+00
-9.754400E-03,-2.010050297E+00
-9.746000E-03,-2.010050297E+00
-9.737600E-03,-4.020100594E+00
-9.729200E-03,-2.010050297E+00
-9.720800E-03,-2.010050297E+00
-9.712400E-03,-3.517588019E+00
-9.704000E-03,-2.010050297E+00
-9.695600E-03,-2.386934727E+00
-9.687200E-03,-3.517588019E+00
-9.678800E-03,-2.386934727E+00
-9.670400E-03,-2.386934727E+00
-9.662000E-03,-2.386934727E+00
-9.653600E-03,-2.010050297E+00
-9.645200E-03,-3.517588019E+00
-9.636800E-03,-2.010050297E+00
-9.628400E-03,-2.010050297E+00
-9.620000E-03,-2.386934727E+00
-9.611600E-03,-2.010050297E+00
-9.603200E-03,-2.386934727E+00
-9.594800E-03,-2.010050297E+00
-9.586400E-03,-2.010050297E+00
-9.578000E-03,-2.010050297E+00
-9.569600E-03,-2.010050297E+00
-9.561200E-03,-2.010050297E+00
-9.552800E-03,-2.010050297E+00
-9.544400E-03,-2.010050297E+00
-9.536000E-03,-2.010050297E+00
-9.527600E-03,-2.010050297E+00
-9.519200E-03,-2.010050297E+00
-9.510800E-03,-2.010050297E+00
-9.502400E-03,-2.010050297E+00
-9.494000E-03,-2.010050297E+00
-9.485600E-03,-2.010050297E+00
-9.477200E-03,-2.010050297E+00
-9.468800E-03,-2.010050297E+00
-9.460400E-03,-2.010050297E+00
-9.452000E-03,-2.010050297E+00
-9.443600E-03,-2.010050297E+00
-9.435200E-03,-2.010050297E+00
-9.426800E-03,-2.010050297E+00
-9.418400E-03,-2.010050297E+00
-9.410000E-03,-2.010050297E+00
-9.401600E-03,-2.010050297E+00
-9.393200E-03,-2.010050297E+00
-9.384800E-03,-2.010050297E+00
-9.376400E-03,-2.010050297E+00
-9.368000E-03,-2.010050297E+00
-9.359600E-03,-2.010050297E+00
-9.351200E-03,-2.010050297E+00
-9.342800E-03,-2.010050297E+00
-9.334400E-03,-2.010050297E+00
-9.326000E-03,-2.010050297E+00
-9.317600E-03,-2.010050297E+00
-9.309200E-03,-2.010050297E+00
-9.300800E-03,-2.010050297E+00
-9.292400E-03,-2.010050297E+00
-9.284000E-03,-2.010050297E+00
-9.275600E-03,-2.010050297E+00
-9.267200E-03,-2.010050297E+00
-9.258800E-03,-2.010050297E+00
-9.250400E-03,-2.010050297E+00
-9.242000E-03,-2.010050297E+00
-9.233600E-03,-2.010050297E+00
-9.225200E-03,-2.010050297E+00
-9.216800E-03,-2.010050297E+00
-9.208400E-03,-2.010050297E+00
-9.200000E-03,-2.010050297E+00
-9.191600E-03,-2.010050297E+00
-9.183200E-03,-2.010050297E+00
-9.174800E-03,-2.010050297E+00
-9.166400E-03,-2.010050297E+00
-9.158000E-03,-2.010050297E+00
-9.149600E-03,-2.010050297E+00
-9.141200E-03,-2.010050297E+00
-9.132800E-03,-2.010050297E+00
-9.124400E-03,-2.010050297E+00
-9.116000E-03,-2.010050297E+00
-9.107600E-03,-2.010050297E+00
-9.099200E-03,-2.010050297E+00
-9.090800E-03,-2.010050297E+00
-9.082400E-03,-2.010050297E+00
-9.074000E-03,-2.010050297E+00
-9.065600E-03,-2.010050297E+00
-9.057200E-03,-2.010050297E+00
-9.048800E-03,-2.010050297E+00
-9.040400E-03,-2.010050297E+00
-9.032000E-03,-2.010050297E+00
-9.023600E-03,-3.517588019E+00
-9.015200E-03,-2.010050297E+00
-9.006800E-03,-2.386934727E+00
-8.998400E-03,-2.010050297E+00
-8.990000E-03,-2.010050297E+00
-8.981600E-03,-2.010050297E+00
-8.973200E-03,-2.010050297E+00
-8.964800E-03,-2.010050297E+00
-8.956400E-03,-2.010050297E+00
-8.948000E-03,-2.010050297E+00
-8.939600E-03,-2.010050297E+00
-8.931200E-03,-2.010050297E+00
-8.922800E-03,-2.010050297E+00
-8.914400E-03,-2.010050297E+00
-8.906000E-03,-2.010050297E+00
-8.897600E-03,-2.010050297E+00
-8.889200E-03,-2.010050297E+00
-8.880800E-03,-3.517588019E+00
-8.872400E-03,-2.010050297E+00
-8.864000E-03,-2.010050297E+00
-8.855600E-03,-2.010050297E+00
-8.847200E-03,-2.010050297E+00
-8.838800E-03,-2.010050297E+00
